#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_id,channel_name,total_subscribers,total_views,total_videos
83,RC RC RC!!! @UCOM2W7YxiXPtKobhrYasZDg,2.3M,-,Germany,,693K,UCOM2W7YxiXPtKobhrYasZDg,Rapid Liquid,2360000,1109644890,587
84,JP Performance GmbH @UC1-VOKyTJrgLiBeiJqzeIUQ,2.3M,-,Germany,,687K,UC1-VOKyTJrgLiBeiJqzeIUQ,Khalid Alnaimi خالد النعيمي,2470000,502084048,832
85,عالم الكيك @UCPAoLHiPHbNzDlcTLh5NJjw,2.3M,-,Germany,,678K,UCPAoLHiPHbNzDlcTLh5NJjw,GalileoRU,2260000,890850627,2177
86,Rapid Liquid @UC38r7_x7oMPAZweB2fvGDXQ,2.2M,-,Germany,,669K,UC38r7_x7oMPAZweB2fvGDXQ,ToysMyToys,2280000,982334164,147
87,Khalid Alnaimi خالد النعيمي @UCyCs6M3YClp90wqwcnnEmOw,2.2M,0.80%,Germany,Marketing and Advertising,669K,UCyCs6M3YClp90wqwcnnEmOw,GÜLSÜMÜN SARAYI TV,4710000,1246892553,2448
88,GalileoRU @UCpNzWUlO6PVb_v7chefBnig,2.2M,-,Germany,,651K,UCpNzWUlO6PVb_v7chefBnig,Trymacs,2510000,1558256936,4598
89,ToysMyToys @UCx5M8lD4NWfoDERFXy3MtyA,2.2M,-,Germany,,645K,UCx5M8lD4NWfoDERFXy3MtyA,Gewitter im Kopf ,2000000,365874607,523
90,AviveHD @avivehd,2.1M,0.20%,Germany,,639K,avivehd,Little Baby Bum Deutsch,2050000,892557212,1331
91,GÜLSÜMÜN SARAYI TV @UCXL8AQAyGu-g2YSG7QzDBIg,2.1M,-,Germany,,639K,UCXL8AQAyGu-g2YSG7QzDBIg,CrispyRob,2030000,387555986,406
92,Trymacs @UC6Gc4KQ1ueDnh8x7plaAD3w,2.1M,0.40%,Germany,,639K,UC6Gc4KQ1ueDnh8x7plaAD3w,Aysha Siddika,2400000,466848548,813
93,Gewitter im Kopf - Leben mit Tourette @UCh2Nc3OwjSwuXrUdFNXqFbQ,2.1M,0.20%,Germany,,639K,UCh2Nc3OwjSwuXrUdFNXqFbQ,Joey's Jungle,2170000,994608805,501
94,Fritz Meinecke @fritzmeinecke,2.1M,1.70%,Germany,,636K,fritzmeinecke,Sallys Welt,2200000,849981555,2497
95,Mois @UCqcWNPTUVATZt0Dlr2jV0Wg,2.1M,-,Germany,,636K,UCqcWNPTUVATZt0Dlr2jV0Wg,,,,
96,Little Baby Bum Deutsch @UCHAQPpmpJqY50V046kQ63Mw,2.1M,-,Germany,,630K,UCHAQPpmpJqY50V046kQ63Mw,,,,
97,CrispyRob @UCvGh4HT9ySBoURt0zSpC0Nw,2M,0.70%,Germany,,615K,UCvGh4HT9ySBoURt0zSpC0Nw,,,,
98,Aysha Siddika @UC5xIZOXLw-dd617GoPPDgbw,2M,-,Germany,,609K,UC5xIZOXLw-dd617GoPPDgbw,,,,
99,Joey's Jungle @UCGWSzxsb4UXsQf_FRQ7rR1g,2M,2.80%,Germany,,606K,UCGWSzxsb4UXsQf_FRQ7rR1g,,,,
100,Sallys Welt @UCPNqPbXJHMvrH3NwRKKR5IQ,2M,-,Germany,,606K,UCPNqPbXJHMvrH3NwRKKR5IQ,,,,
